"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TIMP4",-4.39572144883553,7.23614645213186,-18.4925061604984,1.58693286391122e-43,2.36781327660132e-41,88.4488572180022
"LEP",-5.34535523574133,7.48536191796369,-18.4439065789353,2.16706899076952e-43,3.1966730192249e-41,88.1388657620585
"DDR2",-2.34920834849756,7.96928386576743,-18.4135898027195,2.63232289619729e-43,3.83934646241989e-41,87.9453597236526
"CFL2",-2.08283430799081,6.62814569022715,-18.3824170160446,3.21540452635444e-43,4.61041827765392e-41,87.7462852499452
"KIAA0101",2.19261494352982,7.12907929485306,18.3726677941501,3.42311636118355e-43,4.82994277005692e-41,87.6840033933753
"FGF2",-2.30574691099938,5.92108601352749,-18.3486885732867,3.99307528235589e-43,5.57356024088836e-41,87.530770723188
"CLEC3B /// EXOSC7",-3.46169550137316,8.47933579353874,-18.2233339854748,8.94125830415856e-43,1.20902577131544e-40,86.7287130799155
"MME",-3.03227554071968,6.92630450733035,-18.1733968175588,1.23329333721526e-42,1.65045162993725e-40,86.4087286304318
"LGALS12",-3.08927759317308,6.44379408430326,-18.104607534227,1.92153764970051e-42,2.54525308477166e-40,85.9675087684251
"AKR1C1 /// AKR1C2 /// LOC101930400",-3.46644186470013,5.12165583415903,-18.0704214069245,2.39572507537639e-42,3.14130375792534e-40,85.7480493084048
"C14orf180",-2.55348355697467,6.13067039044224,-18.0640190050956,2.49679085167852e-42,3.20899426194444e-40,85.7069350372007
"PLAC9",-2.11113775721718,7.14849043667542,-18.0421263964209,2.87580009603959e-42,3.61893250157602e-40,85.566314676699
"PLIN4",-4.24241834176688,8.75957217574694,-18.0408614498853,2.89938356185121e-42,3.61893250157602e-40,85.5581881410851
"GPR146",-2.51822693107427,6.21048574750439,-18.0176797905856,3.36760514837965e-42,4.12404551236946e-40,85.409229805036
"NUSAP1",2.99280318618877,7.08589506220852,17.8856066034506,7.91039024799767e-42,9.50784961196831e-40,84.5594935215929
"HRASLS5",-2.06739799272602,6.2658056147154,-17.7366288338372,2.07720907787923e-41,2.45129554908639e-39,83.5988273073077
"CLMP",-2.54927678159025,6.99163528894879,-17.7024954068083,2.59228780042258e-41,2.97791928648545e-39,83.3784018758788
"COPG2IT1",-2.7829375839983,6.1615918434247,-17.6353011413486,4.01065367522308e-41,4.52715611809311e-39,82.9441324595656
"CCDC3",-2.74123423275518,8.63371950773575,-17.572107947617,6.04840086390865e-41,6.76847341503433e-39,82.5353067368302
"INHBA",2.26471371170278,6.6168501650721,17.4136326135951,1.69765295417464e-40,1.86756211848653e-38,81.508310068931
"CDO1",-2.5319177362021,6.23917879041663,-17.2690901136892,4.36091910833905e-40,4.67843726821067e-38,80.5694615227992
"NMB",-2.21297571100976,7.73108758999198,-17.1757629172709,8.0276847140667e-40,8.54158813715572e-38,79.9622058009029
"HLF",-2.22608769426034,5.70091549226311,-17.1678870959759,8.45222189640211e-40,8.92018637700779e-38,79.9109220496507
"DEFB132",-3.45193618801114,5.15661069283345,-17.0850400426583,1.45394803784465e-39,1.50989595834091e-37,79.3711063813942
"SLC16A7",-2.6016566805451,5.2521302825297,-17.0645746786396,1.66259143089906e-39,1.69937790271659e-37,79.2376590845486
"PLIN1",-4.65431270546274,9.39020157014435,-17.0317248324065,2.0620487502125e-39,2.09120740832098e-37,79.0233757061095
"DTL",2.35148722539432,6.39203292999287,17.0195495147999,2.23341428214106e-39,2.24743804623822e-37,78.943929325787
"CAV2",-2.63687997596722,7.54500647433949,-16.9888838079237,2.73098293353345e-39,2.72699149693829e-37,78.7437689247372
"VGLL3",-2.48412950500271,6.13360071070131,-16.8343604712389,7.53417774395848e-39,7.19126185987684e-37,77.7338639566801
"GNAI1",-3.03464932300248,6.65968418716394,-16.8134289453788,8.64582592457873e-39,8.13271495122873e-37,77.5968981308668
"MICU3",-2.26367802948077,4.34066402933415,-16.7828115129586,1.05746494535426e-38,9.87550536377237e-37,77.3964821491757
"FBLN5",-2.39618507653141,8.43885348198561,-16.7692285744101,1.1563186744421e-38,1.07215519378092e-36,77.3075441583345
"CES1 /// LOC100653057",-3.62728356013543,7.87846768788735,-16.6995977054495,1.82873070402973e-38,1.66005267615454e-36,76.8513619556048
"MTURN",-2.16841937175111,6.48596167711969,-16.5930593892811,3.69056997795663e-38,3.25899924379966e-36,76.1525663058826
"EBF1",-2.81192538268801,6.58165613855522,-16.5831239171169,3.94051748637776e-38,3.45620658720741e-36,76.087348777308
"ZWINT",2.61911707136337,8.25808369208492,16.5307724350174,5.56637516294639e-38,4.84947087182598e-36,75.743569256039
"COL10A1",3.84023476590412,7.70701516806128,16.4664517556968,8.51193390125876e-38,7.26930355080526e-36,75.3208745347186
"LOC101926960",-3.2569286291083,4.45421976885604,-16.4654464123229,8.56865212759539e-38,7.26991328551083e-36,75.3142649964565
"CEBPA",-2.40867180795831,8.98602796424622,-16.4367925165294,1.03546195044003e-37,8.67182682494326e-36,75.1258472667623
